"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","待办","1","0","随机待办（GET /todos/random 可选 /random/{length}）","0"
"0","","0","名言","1","0","获取单条名言（GET /quotes/{id}）","0"
"0","","0","评论","1","0","新增/更新/删除评论（模拟）（POST/PUT/PATCH/DELETE）","0"
"0","","0","名言","1","0","名言列表（GET /quotes）","0"
"0","","0","商品","1","0","新增/更新/删除商品（模拟）（POST/PUT/PATCH/DELETE）","0"
"0","","0","认证","1","0","登录并获取当前用户（POST /auth/login + GET /auth/me）","0"
"0","","0","系统","1","0","生成占位图片（GET /image/...）","0"
"0","","0","系统","1","0","生成 identicon（GET /icon/{hash}/{size}）","0"
"0","","0","菜谱","1","0","菜谱标签（GET /recipes/tags）","0"
"0","","0","用户","1","0","新增/更新/删除用户（模拟）（POST/PUT/PATCH/DELETE）","0"
"0","","0","购物车","1","0","获取单个购物车（GET /carts/{id}）","0"
"0","","0","系统","1","0","获取客户端IP（GET /ip）","0"
"0","","0","用户","1","0","用户关联资源（购物车/帖子/待办）（GET /users/{id}/...）","0"
"0","","0","认证","1","0","刷新会话（POST /auth/refresh）","0"
"0","","0","商品","1","0","商品分类（GET /products/categories + /products/category-list）","0"
"0","","0","用户","1","0","过滤用户（GET /users/filter?key=...&value=...）","0"
"0","","0","商品","1","0","商品列表（分页/字段/延迟/排序）（GET /products）","0"
"0","","0","帖子","1","0","按标签获取帖子（GET /posts/tag/{slug}）","0"
"0","","0","认证","1","0","兼容登录与当前用户（POST /user/login + GET /user/me）","0"
"0","","0","帖子","1","0","帖子标签（GET /posts/tags + /posts/tag-list）","0"
"0","","0","菜谱","1","0","搜索菜谱（GET /recipes/search?q=...）","0"
"0","","0","商品","1","0","获取单个商品（GET /products/{id}）","0"
"0","","0","评论","1","0","获取单个评论（GET /comments/{id}）","0"
"0","","0","帖子","1","0","帖子列表（GET /posts）","0"
"0","","0","帖子","1","0","获取单个帖子（GET /posts/{id}）","0"
"0","","0","评论","1","0","评论列表（GET /comments）","0"
"0","","0","待办","1","0","待办列表（GET /todos）","0"
"0","","0","菜谱","1","0","新增/更新/删除菜谱（模拟）（POST/PUT/PATCH/DELETE）","0"
"0","","0","购物车","1","0","购物车列表（GET /carts）","0"
"0","","0","待办","1","0","新增/更新/删除待办（模拟）（POST/PUT/PATCH/DELETE）","0"
"0","","0","系统","1","0","连通性检查（GET /test）","0"
"0","","0","菜谱","1","0","菜谱列表（分页/字段/排序）（GET /recipes）","0"
"0","","0","菜谱","1","0","按餐型获取菜谱（GET /recipes/meal-type/{mealType}）","0"
"0","","0","待办","1","0","获取单个待办（GET /todos/{id}）","0"
"0","","0","菜谱","1","0","获取单个菜谱（GET /recipes/{id}）","0"
"0","","0","菜谱","1","0","按标签获取菜谱（GET /recipes/tag/{tag}）","0"
"0","","0","帖子","1","0","按用户获取帖子（GET /posts/user/{userId}）","0"
"0","","0","帖子","1","0","获取帖子评论（GET /posts/{id}/comments）","0"
"0","","0","用户","1","0","获取单个用户（GET /users/{id}）","0"
"0","","0","购物车","1","0","新增/更新/删除购物车（模拟）（POST/PUT/PATCH/DELETE）","0"
"0","","0","商品","1","0","搜索商品（GET /products/search?q=...）","0"
"0","","0","名言","1","0","随机名言（GET /quotes/random 可选 /random/{length}）","0"
"0","","0","待办","1","0","按用户查询待办（GET /todos/user/{userId}）","0"
"0","","0","评论","1","0","按帖子查询评论（GET /comments/post/{postId}）","0"
"0","","0","系统","1","0","Mock HTTP 响应（GET /http/{code}/{message?}）","0"
"0","","0","用户","1","0","搜索用户（GET /users/search?q=...）","0"
"0","","0","购物车","1","0","查询用户购物车（GET /carts/user/{userId}）","0"
"0","","0","帖子","1","0","搜索帖子（GET /posts/search?q=...）","0"
"0","","0","帖子","1","0","新增/更新/删除帖子（模拟）（POST/PUT/PATCH/DELETE）","0"
"0","","0","用户","1","0","用户列表（分页/字段/排序）（GET /users）","0"
"0","","0","商品","1","0","按分类获取商品（GET /products/category/{slug}）","0"
