"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","723","待办-随机待办（单个/批量）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","待办接口用例","待办","",""
"","360","名言-获取单条名言","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","名言接口用例","名言","",""
"","1082","评论-新增/更新/删除（模拟写接口）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","评论接口用例","评论","",""
"","360","名言-名言列表","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","名言接口用例","名言","",""
"","1413","商品-新增/更新/删除（模拟写接口）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","商品接口用例","商品","",""
"","688","认证-登录并获取当前用户信息","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","认证接口用例","认证","",""
"","2935","系统-占位图片生成（PNG/WebP）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","系统接口用例","系统","",""
"","1149","系统-生成 identicon（SVG）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","系统接口用例","系统","",""
"","360","菜谱-获取标签列表","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","菜谱接口用例","菜谱","",""
"","3227","用户-新增/更新/删除（模拟写接口）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","用户接口用例","用户","",""
"","683","购物车-获取单个购物车","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","购物车接口用例","购物车","",""
"","686","系统-获取客户端IP与UA","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","系统接口用例","系统","",""
"","1083","用户-关联资源（购物车/帖子/待办）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","用户接口用例","用户","",""
"","1270","认证-刷新 accessToken/refreshToken","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","认证接口用例","认证","",""
"","1045","商品-分类数据获取（两种接口）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","商品接口用例","商品","",""
"","366","用户-过滤用户（key/value）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","用户接口用例","用户","",""
"","373","商品-商品列表（分页/字段筛选/延迟/排序）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","商品接口用例","商品","",""
"","1152","帖子-按标签获取帖子","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","帖子接口用例","帖子","",""
"","730","认证-兼容接口登录并获取当前用户","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","认证接口用例","认证","",""
"","724","帖子-标签获取（两种接口）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","帖子接口用例","帖子","",""
"","360","菜谱-搜索菜谱（关键字）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","菜谱接口用例","菜谱","",""
"","360","商品-获取单个商品（字段筛选）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","商品接口用例","商品","",""
"","360","评论-获取单个评论","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","评论接口用例","评论","",""
"","363","帖子-帖子列表","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","帖子接口用例","帖子","",""
"","687","帖子-获取单个帖子","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","帖子接口用例","帖子","",""
"","1096","评论-评论列表","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","评论接口用例","评论","",""
"","362","待办-待办列表","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","待办接口用例","待办","",""
"","2098","菜谱-新增/更新/删除（模拟写接口）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","菜谱接口用例","菜谱","",""
"","692","购物车-购物车列表","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","购物车接口用例","购物车","",""
"","1079","待办-新增/更新/删除（模拟写接口）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","待办接口用例","待办","",""
"","358","系统-连通性检查","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","系统接口用例","系统","",""
"","360","菜谱-菜谱列表（分页/字段筛选/排序）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","菜谱接口用例","菜谱","",""
"","361","菜谱-按餐型获取菜谱","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","菜谱接口用例","菜谱","",""
"","360","待办-获取单个待办","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","待办接口用例","待办","",""
"","360","菜谱-获取单个菜谱","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","菜谱接口用例","菜谱","",""
"","362","菜谱-按标签获取菜谱","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","菜谱接口用例","菜谱","",""
"","360","帖子-按用户获取帖子","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","帖子接口用例","帖子","",""
"","360","帖子-获取帖子评论列表","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","帖子接口用例","帖子","",""
"","684","用户-获取单个用户","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","用户接口用例","用户","",""
"","1106","购物车-新增/更新/删除（模拟写接口）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","购物车接口用例","购物车","",""
"","688","商品-搜索商品（关键字）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","商品接口用例","商品","",""
"","1482","名言-随机名言（单条/多条）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","名言接口用例","名言","",""
"","359","待办-按用户查询待办","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","待办接口用例","待办","",""
"","360","评论-按帖子查询评论","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","评论接口用例","评论","",""
"","718","系统-Mock HTTP 状态码与消息","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","系统接口用例","系统","",""
"","368","用户-搜索用户（关键字）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","用户接口用例","用户","",""
"","959","购物车-查询用户购物车","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","购物车接口用例","购物车","",""
"","366","帖子-搜索帖子（关键字）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","帖子接口用例","帖子","",""
"","1082","帖子-新增/更新/删除（模拟写接口）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","帖子接口用例","帖子","",""
"","361","用户-用户列表（分页/字段筛选/排序）","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","用户接口用例","用户","",""
"","1024","商品-按分类获取商品列表","DummyJSON接口自动化","2026-03-09","passed","2026-03-09","商品接口用例","商品","",""
